run,source_txt,table_id,table_title,variable_type,variable_value,method,mean_asr,mean_ap50,successful,total
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch30,rauca,0.7559,0.0989,2127,2814
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch40,rauca,0.8505,0.0984,2572,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch50,rauca,0.9315,0.2148,2817,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch60,rauca,0.9716,0.2289,2938,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch70,rauca,0.9871,0.1605,2985,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch80,rauca,0.9954,0.1489,3010,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch89,rauca,0.9974,0.1255,3016,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch5,raucae2e,0.5694,0.36,1674,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch10,raucae2e,0.667,0.1993,1961,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch20,raucae2e,0.835,0.132,2455,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch30,raucae2e,0.9051,0.0245,2547,2814
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch40,raucae2e,0.9537,0.0247,2884,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch50,raucae2e,0.9808,0.0836,2966,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch60,raucae2e,0.994,0.1598,3006,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch70,raucae2e,0.999,0.1493,3021,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch80,raucae2e,1.0,0.0909,3024,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch89,raucae2e,1.0,0.0734,3024,3024
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance5,active,0.781,0.2234,5904,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance10,active,0.7524,0.2251,5688,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance15,active,0.7741,0.2022,5690,7350
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance20,active,0.7968,0.1802,5823,7308
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance5,dta,0.8534,0.1585,6452,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance10,dta,0.6264,0.3347,4731,7553
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance15,dta,0.6223,0.331,4574,7350
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance20,dta,0.6746,0.2779,4930,7308
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance5,fca,0.6353,0.381,4803,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance10,fca,0.5049,0.4616,3817,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance15,fca,0.5061,0.4528,3720,7350
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance20,fca,0.5089,0.4328,3719,7308
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance5,ori,0.4903,0.5304,3707,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance10,ori,0.3996,0.5939,3021,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance15,ori,0.4011,0.5735,2948,7350
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance20,ori,0.3838,0.5489,2805,7308
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance5,rauca,0.8269,0.1581,6251,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance10,rauca,0.7808,0.2023,5903,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance15,rauca,0.7995,0.1798,5876,7350
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance20,rauca,0.7989,0.1881,5838,7308
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance5,raucae2e,0.9038,0.1422,6833,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance10,raucae2e,0.8661,0.0965,6548,7560
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance15,raucae2e,0.8927,0.1244,6561,7350
evaluation_results_mw2,evaluation_results_mw2.txt,2,距离 distance,distance,distance20,raucae2e,0.9059,0.0752,6620,7308
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Dark,active,0.8029,0.2002,3985,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Foggy,active,0.7874,0.2187,3908,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Golden,active,0.8072,0.1905,4006,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,HardNoon,active,0.7064,0.2446,3506,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Normal,active,0.7671,0.2027,3807,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Overcast,active,0.7844,0.1897,3893,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Dark,dta,0.7502,0.254,3723,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Foggy,dta,0.7256,0.2867,3596,4956
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Golden,dta,0.7487,0.2491,3716,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,HardNoon,dta,0.5966,0.3395,2961,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Normal,dta,0.6621,0.2924,3286,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Overcast,dta,0.6861,0.279,3405,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Dark,fca,0.6647,0.3247,3299,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Foggy,fca,0.5664,0.426,2811,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Golden,fca,0.6087,0.3671,3021,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,HardNoon,fca,0.4274,0.5191,2121,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Normal,fca,0.466,0.4808,2313,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Overcast,fca,0.5025,0.4545,2494,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Dark,ori,0.4735,0.5286,2350,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Foggy,ori,0.4106,0.595,2038,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Golden,ori,0.4157,0.5721,2063,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,HardNoon,ori,0.3996,0.5618,1983,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Normal,ori,0.407,0.5582,2020,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Overcast,ori,0.4084,0.564,2027,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Dark,rauca,0.8547,0.1673,4242,4963
evaluation_results_mw2,evaluation_results_mw2.txt,3,天气 weather,weather,Foggy,rauca,0.8287,0.1939,4113,4963
