========== 热力图评估汇总（按 angle, pitch 组合）==========
方法数量：9

组合 (angle260, pitch5)：AP@0.5 = 0.4775
组合 (angle280, pitch5)：AP@0.5 = 0.6744
组合 (angle300, pitch5)：AP@0.5 = 0.5263
组合 (angle320, pitch5)：AP@0.5 = 0.7232
组合 (angle340, pitch5)：AP@0.5 = 0.9552
组合 (angle0, pitch10)：AP@0.5 = 0.9262
组合 (angle20, pitch10)：AP@0.5 = 0.9336
组合 (angle40, pitch10)：AP@0.5 = 0.9714
组合 (angle60, pitch10)：AP@0.5 = 0.9757
组合 (angle80, pitch10)：AP@0.5 = 0.8779
组合 (angle100, pitch10)：AP@0.5 = 0.8934
组合 (angle120, pitch10)：AP@0.5 = 0.9750
组合 (angle140, pitch10)：AP@0.5 = 0.8643
组合 (angle160, pitch10)：AP@0.5 = 0.8407
组合 (angle180, pitch10)：AP@0.5 = 0.8796
组合 (angle200, pitch10)：AP@0.5 = 0.8785
组合 (angle220, pitch10)：AP@0.5 = 0.9522
组合 (angle240, pitch10)：AP@0.5 = 0.6544
组合 (angle260, pitch10)：AP@0.5 = 0.5649
组合 (angle280, pitch10)：AP@0.5 = 0.7021
组合 (angle300, pitch10)：AP@0.5 = 0.6147
组合 (angle320, pitch10)：AP@0.5 = 0.7734
组合 (angle340, pitch10)：AP@0.5 = 0.9027
组合 (angle0, pitch20)：AP@0.5 = 0.9876
组合 (angle20, pitch20)：AP@0.5 = 0.9912
组合 (angle40, pitch20)：AP@0.5 = 0.9819
组合 (angle60, pitch20)：AP@0.5 = 0.9930
组合 (angle80, pitch20)：AP@0.5 = 0.8595
组合 (angle100, pitch20)：AP@0.5 = 0.9173
组合 (angle120, pitch20)：AP@0.5 = 0.8664
组合 (angle140, pitch20)：AP@0.5 = 0.8186
组合 (angle160, pitch20)：AP@0.5 = 0.8013
组合 (angle180, pitch20)：AP@0.5 = 0.8661
组合 (angle200, pitch20)：AP@0.5 = 0.8937
组合 (angle220, pitch20)：AP@0.5 = 0.9165
组合 (angle240, pitch20)：AP@0.5 = 0.7517
组合 (angle260, pitch20)：AP@0.5 = 0.5852
组合 (angle280, pitch20)：AP@0.5 = 0.4635
组合 (angle300, pitch20)：AP@0.5 = 0.6210
组合 (angle320, pitch20)：AP@0.5 = 0.7984
组合 (angle340, pitch20)：AP@0.5 = 0.9862
组合 (angle0, pitch30)：AP@0.5 = 0.9899
组合 (angle20, pitch30)：AP@0.5 = 0.9964
组合 (angle40, pitch30)：AP@0.5 = 0.9142
组合 (angle60, pitch30)：AP@0.5 = 0.9174
组合 (angle80, pitch30)：AP@0.5 = 0.6271
组合 (angle100, pitch30)：AP@0.5 = 0.7915
组合 (angle120, pitch30)：AP@0.5 = 0.8303
组合 (angle140, pitch30)：AP@0.5 = 0.8285
组合 (angle160, pitch30)：AP@0.5 = 0.8254
组合 (angle180, pitch30)：AP@0.5 = 0.7727
组合 (angle200, pitch30)：AP@0.5 = 0.8831
组合 (angle220, pitch30)：AP@0.5 = 0.8905
组合 (angle240, pitch30)：AP@0.5 = 0.7610
组合 (angle260, pitch30)：AP@0.5 = 0.4543
组合 (angle280, pitch30)：AP@0.5 = 0.3172
组合 (angle300, pitch30)：AP@0.5 = 0.4830
组合 (angle320, pitch30)：AP@0.5 = 0.8392
组合 (angle340, pitch30)：AP@0.5 = 0.9908
组合 (angle0, pitch40)：AP@0.5 = 0.9914
组合 (angle20, pitch40)：AP@0.5 = 0.9989
组合 (angle40, pitch40)：AP@0.5 = 0.8953
组合 (angle60, pitch40)：AP@0.5 = 0.9055
组合 (angle80, pitch40)：AP@0.5 = 0.4918
组合 (angle100, pitch40)：AP@0.5 = 0.6213
组合 (angle120, pitch40)：AP@0.5 = 0.7879
组合 (angle140, pitch40)：AP@0.5 = 0.7823
组合 (angle160, pitch40)：AP@0.5 = 0.8119
组合 (angle180, pitch40)：AP@0.5 = 0.7867
组合 (angle200, pitch40)：AP@0.5 = 0.8823
组合 (angle220, pitch40)：AP@0.5 = 0.9984
组合 (angle240, pitch40)：AP@0.5 = 0.7645
组合 (angle260, pitch40)：AP@0.5 = 0.4227
组合 (angle280, pitch40)：AP@0.5 = 0.2598
组合 (angle300, pitch40)：AP@0.5 = 0.4925
组合 (angle320, pitch40)：AP@0.5 = 0.9298
组合 (angle340, pitch40)：AP@0.5 = 0.9003
组合 (angle0, pitch50)：AP@0.5 = 0.9091
组合 (angle20, pitch50)：AP@0.5 = 0.9238
组合 (angle40, pitch50)：AP@0.5 = 0.8466
组合 (angle60, pitch50)：AP@0.5 = 0.8008
组合 (angle80, pitch50)：AP@0.5 = 0.5800
组合 (angle100, pitch50)：AP@0.5 = 0.5751
组合 (angle120, pitch50)：AP@0.5 = 0.8443
组合 (angle140, pitch50)：AP@0.5 = 0.8893
组合 (angle160, pitch50)：AP@0.5 = 0.9974
组合 (angle180, pitch50)：AP@0.5 = 0.9611
组合 (angle200, pitch50)：AP@0.5 = 0.9049
组合 (angle220, pitch50)：AP@0.5 = 0.9091
组合 (angle240, pitch50)：AP@0.5 = 0.7235
组合 (angle260, pitch50)：AP@0.5 = 0.4521
组合 (angle280, pitch50)：AP@0.5 = 0.4158
组合 (angle300, pitch50)：AP@0.5 = 0.7385
组合 (angle320, pitch50)：AP@0.5 = 0.8967
组合 (angle340, pitch50)：AP@0.5 = 0.9198
组合 (angle0, pitch60)：AP@0.5 = 0.8907
组合 (angle20, pitch60)：AP@0.5 = 0.8483
组合 (angle40, pitch60)：AP@0.5 = 0.8364
组合 (angle60, pitch60)：AP@0.5 = 0.6913
组合 (angle80, pitch60)：AP@0.5 = 0.5065
组合 (angle100, pitch60)：AP@0.5 = 0.5045
组合 (angle120, pitch60)：AP@0.5 = 0.7110
组合 (angle140, pitch60)：AP@0.5 = 0.8296
组合 (angle160, pitch60)：AP@0.5 = 0.9091
组合 (angle180, pitch60)：AP@0.5 = 0.9043
组合 (angle200, pitch60)：AP@0.5 = 0.8961
组合 (angle220, pitch60)：AP@0.5 = 0.9019
组合 (angle240, pitch60)：AP@0.5 = 0.7810
组合 (angle260, pitch60)：AP@0.5 = 0.3344
组合 (angle280, pitch60)：AP@0.5 = 0.3821
组合 (angle300, pitch60)：AP@0.5 = 0.6772
组合 (angle320, pitch60)：AP@0.5 = 0.8591
组合 (angle340, pitch60)：AP@0.5 = 0.8558
组合 (angle0, pitch70)：AP@0.5 = 0.7831
组合 (angle20, pitch70)：AP@0.5 = 0.7071
组合 (angle40, pitch70)：AP@0.5 = 0.6835
组合 (angle60, pitch70)：AP@0.5 = 0.5953
组合 (angle80, pitch70)：AP@0.5 = 0.4002
组合 (angle100, pitch70)：AP@0.5 = 0.4057
组合 (angle120, pitch70)：AP@0.5 = 0.5926
组合 (angle140, pitch70)：AP@0.5 = 0.6689
组合 (angle160, pitch70)：AP@0.5 = 0.7767
组合 (angle180, pitch70)：AP@0.5 = 0.8648
组合 (angle200, pitch70)：AP@0.5 = 0.7196
组合 (angle220, pitch70)：AP@0.5 = 0.6975
组合 (angle240, pitch70)：AP@0.5 = 0.6115
组合 (angle260, pitch70)：AP@0.5 = 0.2521
组合 (angle280, pitch70)：AP@0.5 = 0.3086
组合 (angle300, pitch70)：AP@0.5 = 0.4996
组合 (angle320, pitch70)：AP@0.5 = 0.6811
组合 (angle340, pitch70)：AP@0.5 = 0.7138
组合 (angle0, pitch80)：AP@0.5 = 0.4231
组合 (angle20, pitch80)：AP@0.5 = 0.4243
组合 (angle40, pitch80)：AP@0.5 = 0.4768
组合 (angle60, pitch80)：AP@0.5 = 0.4277
组合 (angle80, pitch80)：AP@0.5 = 0.3100
组合 (angle100, pitch80)：AP@0.5 = 0.2430
组合 (angle120, pitch80)：AP@0.5 = 0.4434
组合 (angle140, pitch80)：AP@0.5 = 0.5142
组合 (angle160, pitch80)：AP@0.5 = 0.4822
组合 (angle180, pitch80)：AP@0.5 = 0.5843
组合 (angle200, pitch80)：AP@0.5 = 0.5017
组合 (angle220, pitch80)：AP@0.5 = 0.4962
组合 (angle240, pitch80)：AP@0.5 = 0.3666
组合 (angle260, pitch80)：AP@0.5 = 0.2240
组合 (angle280, pitch80)：AP@0.5 = 0.2417
组合 (angle300, pitch80)：AP@0.5 = 0.4054
组合 (angle320, pitch80)：AP@0.5 = 0.3983
组合 (angle340, pitch80)：AP@0.5 = 0.4318
组合 (angle0, pitch89)：AP@0.5 = 0.3668
组合 (angle20, pitch89)：AP@0.5 = 0.3236
组合 (angle40, pitch89)：AP@0.5 = 0.4069
组合 (angle60, pitch89)：AP@0.5 = 0.2961
组合 (angle80, pitch89)：AP@0.5 = 0.2659
组合 (angle100, pitch89)：AP@0.5 = 0.1994
组合 (angle120, pitch89)：AP@0.5 = 0.3811
组合 (angle140, pitch89)：AP@0.5 = 0.3977
组合 (angle160, pitch89)：AP@0.5 = 0.3863
组合 (angle180, pitch89)：AP@0.5 = 0.4533
组合 (angle200, pitch89)：AP@0.5 = 0.3887
组合 (angle220, pitch89)：AP@0.5 = 0.4622
组合 (angle240, pitch89)：AP@0.5 = 0.3491
组合 (angle260, pitch89)：AP@0.5 = 0.1818
组合 (angle280, pitch89)：AP@0.5 = 0.2401
组合 (angle300, pitch89)：AP@0.5 = 0.2488
组合 (angle320, pitch89)：AP@0.5 = 0.3364
组合 (angle340, pitch89)：AP@0.5 = 0.3011

【方法：dta】
组合 (angle0, pitch5)：AP@0.5 = 0.7695
组合 (angle20, pitch5)：AP@0.5 = 0.8049
组合 (angle40, pitch5)：AP@0.5 = 0.8292
组合 (angle60, pitch5)：AP@0.5 = 0.7677
组合 (angle80, pitch5)：AP@0.5 = 0.7306
组合 (angle100, pitch5)：AP@0.5 = 0.6992
组合 (angle120, pitch5)：AP@0.5 = 0.5694
组合 (angle140, pitch5)：AP@0.5 = 0.6510
组合 (angle160, pitch5)：AP@0.5 = 0.5262
组合 (angle180, pitch5)：AP@0.5 = 0.6208
组合 (angle200, pitch5)：AP@0.5 = 0.6014
组合 (angle220, pitch5)：AP@0.5 = 0.7306
组合 (angle240, pitch5)：AP@0.5 = 0.2595
组合 (angle260, pitch5)：AP@0.5 = 0.3734
组合 (angle280, pitch5)：AP@0.5 = 0.5914
组合 (angle300, pitch5)：AP@0.5 = 0.2808
组合 (angle320, pitch5)：AP@0.5 = 0.5226
组合 (angle340, pitch5)：AP@0.5 = 0.8645
组合 (angle0, pitch10)：AP@0.5 = 0.8137
组合 (angle20, pitch10)：AP@0.5 = 0.8595
组合 (angle40, pitch10)：AP@0.5 = 0.8095
组合 (angle60, pitch10)：AP@0.5 = 0.7958
组合 (angle80, pitch10)：AP@0.5 = 0.7491
组合 (angle100, pitch10)：AP@0.5 = 0.7515
组合 (angle120, pitch10)：AP@0.5 = 0.6624
组合 (angle140, pitch10)：AP@0.5 = 0.6404
组合 (angle160, pitch10)：AP@0.5 = 0.5773
组合 (angle180, pitch10)：AP@0.5 = 0.6155
组合 (angle200, pitch10)：AP@0.5 = 0.6378
组合 (angle220, pitch10)：AP@0.5 = 0.7600
组合 (angle240, pitch10)：AP@0.5 = 0.3569
组合 (angle260, pitch10)：AP@0.5 = 0.3708
组合 (angle280, pitch10)：AP@0.5 = 0.4208
组合 (angle300, pitch10)：AP@0.5 = 0.2429
组合 (angle320, pitch10)：AP@0.5 = 0.5421
组合 (angle340, pitch10)：AP@0.5 = 0.8335
组合 (angle0, pitch20)：AP@0.5 = 0.9044
组合 (angle20, pitch20)：AP@0.5 = 0.8069
组合 (angle40, pitch20)：AP@0.5 = 0.7692
组合 (angle60, pitch20)：AP@0.5 = 0.7734
组合 (angle80, pitch20)：AP@0.5 = 0.5243
组合 (angle100, pitch20)：AP@0.5 = 0.6739
组合 (angle120, pitch20)：AP@0.5 = 0.6037
组合 (angle140, pitch20)：AP@0.5 = 0.3775
组合 (angle160, pitch20)：AP@0.5 = 0.3546
组合 (angle180, pitch20)：AP@0.5 = 0.5194
组合 (angle200, pitch20)：AP@0.5 = 0.5153
组合 (angle220, pitch20)：AP@0.5 = 0.7409
组合 (angle240, pitch20)：AP@0.5 = 0.3114
组合 (angle260, pitch20)：AP@0.5 = 0.2286
组合 (angle280, pitch20)：AP@0.5 = 0.1319
组合 (angle300, pitch20)：AP@0.5 = 0.2268
组合 (angle320, pitch20)：AP@0.5 = 0.5066
组合 (angle340, pitch20)：AP@0.5 = 0.8802
组合 (angle0, pitch30)：AP@0.5 = 0.7350
组合 (angle20, pitch30)：AP@0.5 = 0.6866
组合 (angle40, pitch30)：AP@0.5 = 0.6568
组合 (angle60, pitch30)：AP@0.5 = 0.6577
组合 (angle80, pitch30)：AP@0.5 = 0.3494
组合 (angle100, pitch30)：AP@0.5 = 0.4081
组合 (angle120, pitch30)：AP@0.5 = 0.3991
组合 (angle140, pitch30)：AP@0.5 = 0.3225
组合 (angle160, pitch30)：AP@0.5 = 0.2000
组合 (angle180, pitch30)：AP@0.5 = 0.1878
组合 (angle200, pitch30)：AP@0.5 = 0.3809
组合 (angle220, pitch30)：AP@0.5 = 0.4898
组合 (angle240, pitch30)：AP@0.5 = 0.2262
组合 (angle260, pitch30)：AP@0.5 = 0.2027
组合 (angle280, pitch30)：AP@0.5 = 0.0825
组合 (angle300, pitch30)：AP@0.5 = 0.1662
组合 (angle320, pitch30)：AP@0.5 = 0.4248
组合 (angle340, pitch30)：AP@0.5 = 0.6702
组合 (angle0, pitch40)：AP@0.5 = 0.6667
组合 (angle20, pitch40)：AP@0.5 = 0.6155
组合 (angle40, pitch40)：AP@0.5 = 0.6094
组合 (angle60, pitch40)：AP@0.5 = 0.6062
组合 (angle80, pitch40)：AP@0.5 = 0.3070
组合 (angle100, pitch40)：AP@0.5 = 0.3906
组合 (angle120, pitch40)：AP@0.5 = 0.4045
组合 (angle140, pitch40)：AP@0.5 = 0.2388
组合 (angle160, pitch40)：AP@0.5 = 0.1593
组合 (angle180, pitch40)：AP@0.5 = 0.1490
组合 (angle200, pitch40)：AP@0.5 = 0.3569
组合 (angle220, pitch40)：AP@0.5 = 0.5621
组合 (angle240, pitch40)：AP@0.5 = 0.2596
组合 (angle260, pitch40)：AP@0.5 = 0.1192
组合 (angle280, pitch40)：AP@0.5 = 0.0688
组合 (angle300, pitch40)：AP@0.5 = 0.0845
组合 (angle320, pitch40)：AP@0.5 = 0.4243
组合 (angle340, pitch40)：AP@0.5 = 0.5039
组合 (angle0, pitch50)：AP@0.5 = 0.6132
组合 (angle20, pitch50)：AP@0.5 = 0.5202
组合 (angle40, pitch50)：AP@0.5 = 0.5320
组合 (angle60, pitch50)：AP@0.5 = 0.4769
组合 (angle80, pitch50)：AP@0.5 = 0.3736
组合 (angle100, pitch50)：AP@0.5 = 0.3680
组合 (angle120, pitch50)：AP@0.5 = 0.5891
组合 (angle140, pitch50)：AP@0.5 = 0.4963
组合 (angle160, pitch50)：AP@0.5 = 0.5958
组合 (angle180, pitch50)：AP@0.5 = 0.5722
组合 (angle200, pitch50)：AP@0.5 = 0.5584
组合 (angle220, pitch50)：AP@0.5 = 0.5582
组合 (angle240, pitch50)：AP@0.5 = 0.3425
组合 (angle260, pitch50)：AP@0.5 = 0.2067
组合 (angle280, pitch50)：AP@0.5 = 0.1301
组合 (angle300, pitch50)：AP@0.5 = 0.3438
组合 (angle320, pitch50)：AP@0.5 = 0.4084
组合 (angle340, pitch50)：AP@0.5 = 0.4949
组合 (angle0, pitch60)：AP@0.5 = 0.4490
组合 (angle20, pitch60)：AP@0.5 = 0.4147
组合 (angle40, pitch60)：AP@0.5 = 0.3920
组合 (angle60, pitch60)：AP@0.5 = 0.4041
组合 (angle80, pitch60)：AP@0.5 = 0.3042
组合 (angle100, pitch60)：AP@0.5 = 0.3024
组合 (angle120, pitch60)：AP@0.5 = 0.5094
组合 (angle140, pitch60)：AP@0.5 = 0.4793
组合 (angle160, pitch60)：AP@0.5 = 0.4025
组合 (angle180, pitch60)：AP@0.5 = 0.4974
组合 (angle200, pitch60)：AP@0.5 = 0.4991
组合 (angle220, pitch60)：AP@0.5 = 0.4963
组合 (angle240, pitch60)：AP@0.5 = 0.4508
组合 (angle260, pitch60)：AP@0.5 = 0.2144
组合 (angle280, pitch60)：AP@0.5 = 0.2177
组合 (angle300, pitch60)：AP@0.5 = 0.4292
组合 (angle320, pitch60)：AP@0.5 = 0.4419
组合 (angle340, pitch60)：AP@0.5 = 0.3996
组合 (angle0, pitch70)：AP@0.5 = 0.3159
组合 (angle20, pitch70)：AP@0.5 = 0.2887
组合 (angle40, pitch70)：AP@0.5 = 0.2612
组合 (angle60, pitch70)：AP@0.5 = 0.2868
组合 (angle80, pitch70)：AP@0.5 = 0.1581
组合 (angle100, pitch70)：AP@0.5 = 0.1573
组合 (angle120, pitch70)：AP@0.5 = 0.4121
组合 (angle140, pitch70)：AP@0.5 = 0.4545
组合 (angle160, pitch70)：AP@0.5 = 0.2996
